id,y
0,76
1,72
2,72
3,64
4,75
5,66
6,81
7,66
8,71
9,66
10,75
11,62
12,67
13,69
14,77
15,75
16,63
17,74
18,73
19,65
20,64
21,66
22,79
23,70
24,73
25,67
26,62
27,78
28,78
29,72
30,59
31,74
32,65
33,68
34,67
35,66
36,72
37,62
38,66
39,71
40,76
41,78
42,63
43,69
44,65
45,61
46,79
47,76
48,79
49,76
50,60
51,62
52,66
53,61
54,63
55,70
56,80
57,59
58,60
59,73
60,77
61,75
62,76
63,62
64,63
65,63
66,76
67,79
68,63
69,62
70,76
71,68
72,78
73,76
74,60
75,67
76,67
77,73
78,75
79,63
80,67
81,70
82,78
83,61
84,70
85,74
86,77
87,83
88,71
89,64
90,79
91,71
92,72
93,70
94,78
95,67
96,76
97,74
98,61
99,64
100,73
101,74
102,80
103,75
104,78
105,70
106,80
107,78
108,75
109,80
110,64
111,75
112,64
113,78
114,67
115,68
116,76
117,62
118,62
119,76
120,72
121,67
122,71
123,77
124,62
125,67
126,60
127,76
128,64
129,75
130,76
131,72
132,69
133,63
134,65
135,70
136,72
137,66
138,57
139,71
140,60
141,66
142,66
143,81
144,75
145,74
146,70
147,74
148,69
149,67
150,69
151,68
152,65
153,69
154,74
155,73
156,67
157,79
158,66
159,72
160,63
161,65
162,73
163,61
164,63
165,61
166,71
167,65
168,73
169,75
170,68
171,72
172,65
173,60
174,72
175,58
176,74
177,70
178,62
179,70
180,75
181,77
182,78
183,80
184,81
185,74
186,64
187,61
188,65
189,61
190,68
191,78
192,79
193,61
194,67
195,79
196,74
197,75
198,78
199,78
200,58
201,71
202,72
203,73
204,71
205,74
206,80
207,62
208,61
209,64
210,72
211,68
212,68
213,77
214,60
215,58
216,70
217,70
218,63
219,81
220,72
221,74
222,57
223,64
224,73
225,80
226,74
227,77
228,71
229,75
230,68
231,74
232,64
233,76
234,60
235,69
236,69
237,60
238,72
239,69
240,68
241,63
242,71
243,78
244,66
245,58
246,70
247,77
248,73
249,66
250,66
251,70
252,74
253,61
254,65
255,78
256,81
257,78
258,65
259,72
260,67
261,78
262,63
263,63
264,77
265,68
266,83
267,73
268,71
269,69
270,74
271,60
272,65
273,60
274,70
275,68
276,74
277,75
278,79
279,72
280,76
281,80
282,68
283,69
284,64
285,80
286,81
287,77
288,75
289,69
290,64
291,67
292,72
293,79
294,66
295,67
296,60
297,64
298,63
299,68
300,73
301,66
302,75
303,74
304,78
305,61
306,78
307,60
308,68
309,78
310,62
311,71
312,76
313,76
314,76
315,63
316,62
317,78
318,60
319,69
320,63
321,74
322,66
323,77
324,76
325,65
326,79
327,78
328,64
329,68
330,77
331,60
332,78
333,78
334,77
335,64
336,68
337,70
338,69
339,73
340,67
341,72
342,68
343,75
344,71
345,61
346,75
347,64
348,57
349,68
350,68
351,72
352,69
353,74
354,66
355,78
356,75
357,59
358,77
359,80
360,68
361,65
362,63
363,64
364,79
365,60
366,69
367,58
368,65
369,75
370,62
371,67
372,75
373,73
374,81
375,58
376,78
377,71
378,76
379,72
380,69
381,75
382,77
383,72
384,73
385,76
386,67
387,70
388,62
389,76
390,75
391,59
392,75
393,61
394,78
395,67
396,65
397,78
398,60
399,77
400,71
401,64
402,65
403,72
404,79
405,72
406,61
407,70
408,68
409,82
410,73
411,65
412,66
413,83
414,60
415,71
416,73
417,74
418,71
419,56
420,77
421,63
422,64
423,68
424,74
425,74
426,66
427,80
428,73
429,81
430,65
431,62
432,75
433,66
434,68
435,66
436,77
437,65
438,79
439,78
440,60
441,66
442,60
443,66
444,64
445,80
446,75
447,80
448,75
449,65
450,66
451,65
452,66
453,68
454,69
455,59
456,65
457,73
458,77
459,72
460,74
461,61
462,68
463,77
464,70
465,77
466,72
467,66
468,64
469,78
470,73
471,67
472,76
473,73
474,77
475,62
476,72
477,67
478,78
479,67
480,66
481,66
482,65
483,62
484,67
485,73
486,68
487,71
488,64
489,75
490,73
491,80
492,82
493,64
494,77
495,61
496,64
497,64
498,70
499,70
500,69
501,68
502,71
503,78
504,75
505,77
506,76
507,80
508,74
509,67
510,69
511,69
512,59
513,63
514,73
515,75
516,69
517,77
518,65
519,63
520,77
521,64
522,69
523,71
524,65
525,72
526,62
527,75
528,66
529,65
530,80
531,65
532,60
533,74
534,62
535,62
536,73
537,74
538,71
539,65
540,61
541,82
542,60
543,69
544,68
545,63
546,79
547,73
548,68
549,67
550,78
551,67
552,63
553,61
554,70
555,73
556,68
557,61
558,60
559,77
560,70
561,79
562,69
563,65
564,70
565,79
566,79
567,61
568,70
569,66
570,71
571,64
572,75
573,74
574,61
575,74
576,61
577,75
578,77
579,62
580,79
581,60
582,72
583,74
584,82
585,72
586,63
587,80
588,69
589,73
590,70
591,76
592,79
593,75
594,65
595,67
596,64
597,74
598,78
599,78
600,62
601,77
602,56
603,65
604,61
605,61
606,72
607,79
608,78
609,63
610,60
611,77
612,78
613,63
614,75
615,63
616,60
617,61
618,64
619,65
620,76
621,60
622,79
623,69
624,66
625,64
626,71
627,73
628,75
629,69
630,75
631,72
632,72
633,58
634,74
635,78
636,63
637,78
638,71
639,59
640,81
641,72
642,66
643,63
644,64
645,78
646,78
647,67
648,70
649,62
650,79
651,72
652,79
653,64
654,66
655,65
656,67
657,60
658,79
659,76
660,63
661,67
662,60
663,79
664,64
665,71
666,67
667,80
668,74
669,65
670,56
671,75
672,62
673,57
674,73
675,62
676,69
677,59
678,66
679,63
680,63
681,62
682,75
683,76
684,67
685,68
686,77
687,59
688,65
689,78
690,68
691,70
692,59
693,79
694,74
695,63
696,69
697,63
698,80
699,73
700,70
701,74
702,63
703,63
704,76
705,73
706,63
707,67
708,66
709,63
710,80
711,76
712,59
713,67
714,69
715,71
716,64
717,69
718,70
719,71
720,67
721,82
722,67
723,80
724,70
725,72
726,65
727,61
728,68
729,61
730,74
731,68
732,81
733,66
734,75
735,67
736,71
737,69
738,76
739,78
740,61
741,60
742,75
743,56
744,70
745,64
746,66
747,68
748,70
749,66
750,71
751,63
752,63
753,69
754,66
755,81
756,69
757,80
758,62
759,62
760,74
761,74
762,65
763,59
764,80
765,69
766,73
767,78
768,69
769,64
770,78
771,62
772,63
773,80
774,67
775,66
